"term_id","database","direction","background_size","input_size","term_size","overlap_count","expected_overlap","enrichment_ratio","p_value","overlapping_gene_keys","overlapping_gene_symbols","fdr_bh","term_name","namespace","experimental_input_size","experimental_term_size","experimental_overlap_count","experimental_enrichment_ratio","experimental_p_value","experimental_fdr_bh","experimental_supported","representative_rank","redundancy_threshold"
"R-HSA-453279","Reactome","Higher in tumor",10355,267,138,13,3.55828102366007,3.65344949248222,5.54949347629263e-05,"1029;4171;4173;51053;6241;7083;7153;7298;890;891;9134;983;990","CCNA2;CCNB1;CCNE2;CDC6;CDK1;CDKN2A;GMNN;MCM2;MCM4;RRM2;TK1;TOP2A;TYMS",0.000515565845539444,"Mitotic G1 phase and G1/S transition","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,8,0.5
"R-HSA-69481","Reactome","Higher in tumor",10355,267,143,13,3.687204249155,3.52570650323459,8.02774898530902e-05,"1111;116028;2810;3017;4171;4173;51512;83990;890;891;9133;983;990","BRIP1;CCNA2;CCNB1;CCNB2;CDC6;CDK1;CHEK1;GTSE1;HIST1H2BD;MCM2;MCM4;RMI2;SFN",0.000722497408677812,"G2/M Checkpoints","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,9,0.5
"R-HSA-1592389","Reactome","Higher in tumor",10355,267,31,6,0.799323998068566,7.50634287785429,0.000118884075060769,"4312;4316;4318;4319;4320;4322","MMP1;MMP10;MMP11;MMP13;MMP7;MMP9",0.000978246103357186,"Activation of Matrix Metalloproteinases","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,10,0.5
"R-HSA-2514853","Reactome","Higher in tumor",10355,267,11,4,0.283631096088846,14.1028260129384,0.000123630904504963,"64151;891;9133;983","CCNB1;CCNB2;CDK1;NCAPG",0.000989047236039705,"Condensation of Prometaphase Chromosomes","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,11,0.5
"R-HSA-6811434","Reactome","Higher in tumor",10355,267,93,10,2.3979719942057,4.17019048769683,0.000134781742420691,"10112;11004;11014;11015;23423;24137;347733;3832;55083;56992","KDELR2;KDELR3;KIF11;KIF15;KIF20A;KIF26B;KIF2C;KIF4A;TMED3;TUBB2B",0.0010491119410043,"COPI-dependent Golgi-to-ER retrograde traffic","reactome_pathway",NA,NA,NA,NA,NA,NA,NA,12,0.5
"GO:0001944","GO Biological Process","Lower in tumor",14764,772,308,71,16.1051205635329,4.40853576475338,3.93012867345866e-27,"ACKR3;ACVRL1;ADAMTS9;ADM;ADTRP;AMOTL1;ANGPT1;APOLD1;AQP1;BMP2;BMPER;BMPR2;CALCRL;CAV1;CCBE1;CCL2;CD93;CDH5;CLEC14A;DLL1;EDN1;EGR1;EGR3;EPAS1;FGF2;FOXF1;FZD4;GATA2;GATA6;GJA5;GPC3;HEY1;HPGD;ID1;JAM3;KDR;LDLR;MEIS1;MMRN2;NDNF;NOTCH4;NR4A1;OSR1;PDE2A;PDPN;PECAM1;PROK2;PTPRB;QKI;RAMP2;RASIP1;RECK;ROBO2;ROBO4;RORA;RSPO3;S1PR1;SEMA3E;SEMA5A;SLC1A1;SLIT2;SOX17;SVEP1;TBX2;TBX5;TCF21;TEK;TGFBR2;TGFBR3;TIE1;TMEM204","ACKR3;ACVRL1;ADAMTS9;ADM;ADTRP;AMOTL1;ANGPT1;APOLD1;AQP1;BMP2;BMPER;BMPR2;CALCRL;CAV1;CCBE1;CCL2;CD93;CDH5;CLEC14A;DLL1;EDN1;EGR1;EGR3;EPAS1;FGF2;FOXF1;FZD4;GATA2;GATA6;GJA5;GPC3;HEY1;HPGD;ID1;JAM3;KDR;LDLR;MEIS1;MMRN2;NDNF;NOTCH4;NR4A1;OSR1;PDE2A;PDPN;PECAM1;PROK2;PTPRB;QKI;RAMP2;RASIP1;RECK;ROBO2;ROBO4;RORA;RSPO3;S1PR1;SEMA3E;SEMA5A;SLC1A1;SLIT2;SOX17;SVEP1;TBX2;TBX5;TCF21;TEK;TGFBR2;TGFBR3;TIE1;TMEM204",9.39693765823965e-24,"vasculature development","biological_process",534,131,34,4.71598479000486,1.09258786891614e-14,3.04832015427602e-12,TRUE,1,0.5
"GO:1901342","GO Biological Process","Lower in tumor",14764,772,272,58,14.2227038742888,4.07798689423956,1.50798087171596e-20,"ADAMTS1;ADAMTS9;ADGRB3;ADGRG6;ADM;AKT3;ALOX5;ANXA3;AQP1;BMPER;C5AR1;CCBE1;CD36;CDH5;CLDN5;CLIC3;COL4A3;CXCL12;DLL1;ECSCR;EMP2;ETS1;FBLN5;FGF2;FYN;GATA2;GATA6;HOXA5;HSPB6;HYAL1;IL1B;IL6;KDR;KLF2;KLF4;NPR1;PDE3B;PPARG;PPP1R16B;PRKCB;PTGIS;PTPRM;QKI;RAMP2;RECK;RGCC;RHOB;RHOJ;RRAS;SASH1;SEMA3E;SEMA5A;SEMA6A;TEK;TIE1;TNFAIP3;TSPAN12;TSPAN18","ADAMTS1;ADAMTS9;ADGRB3;ADGRG6;ADM;AKT3;ALOX5;ANXA3;AQP1;BMPER;C5AR1;CCBE1;CD36;CDH5;CLDN5;CLIC3;COL4A3;CXCL12;DLL1;ECSCR;EMP2;ETS1;FBLN5;FGF2;FYN;GATA2;GATA6;HOXA5;HSPB6;HYAL1;IL1B;IL6;KDR;KLF2;KLF4;NPR1;PDE3B;PPARG;PPP1R16B;PRKCB;PTGIS;PTPRM;QKI;RAMP2;RECK;RGCC;RHOB;RHOJ;RRAS;SASH1;SEMA3E;SEMA5A;SEMA6A;TEK;TIE1;TNFAIP3;TSPAN12;TSPAN18",7.21116452854573e-18,"regulation of vasculature development","biological_process",534,178,35,3.57283381727896,2.74911529690342e-11,2.55667722612018e-09,TRUE,2,0.5
"GO:0008015","GO Biological Process","Lower in tumor",14764,772,358,62,18.7195881874831,3.31203867195415,3.98072903448439e-17,"ACE;ACVRL1;ADM;ADRA1A;ADRB1;ADRB2;AGTR1;AGTR2;AKAP12;ANGPT1;ANK2;ATP1A2;BMP6;BMPR2;CAV1;CDH5;CLDN5;CPA3;CXCL12;DLL1;DOCK4;EDN1;EDNRB;FERMT2;GATA6;GJA5;ITGA1;KCNJ8;KCNK3;KCNMB4;KL;KLF2;MME;MYL9;NEDD4L;NOS1;NPR1;NPR3;OLR1;P2RY1;PDE1C;PDE2A;PECAM1;PPARG;PTGS2;RAMP2;RARRES2;RGS2;SCN4B;SCN7A;SCNN1G;SERPING1;SGCG;SH3GL2;SLC6A4;SLIT2;SPX;SVEP1;TEK;TJP2;TNNC1;TTN","ACE;ACVRL1;ADM;ADRA1A;ADRB1;ADRB2;AGTR1;AGTR2;AKAP12;ANGPT1;ANK2;ATP1A2;BMP6;BMPR2;CAV1;CDH5;CLDN5;CPA3;CXCL12;DLL1;DOCK4;EDN1;EDNRB;FERMT2;GATA6;GJA5;ITGA1;KCNJ8;KCNK3;KCNMB4;KL;KLF2;MME;MYL9;NEDD4L;NOS1;NPR1;NPR3;OLR1;P2RY1;PDE1C;PDE2A;PECAM1;PPARG;PTGS2;RAMP2;RARRES2;RGS2;SCN4B;SCN7A;SCNN1G;SERPING1;SGCG;SH3GL2;SLC6A4;SLIT2;SPX;SVEP1;TEK;TJP2;TNNC1;TTN",1.3597033030646e-14,"blood circulation","biological_process",534,134,31,4.20360277265359,4.63655917316684e-12,6.46800004656774e-10,TRUE,3,0.5
"GO:0040011","GO Biological Process","Lower in tumor",14764,772,283,50,14.7978867515578,3.37886083597283,2.20548814260673e-14,"ACKR3;ACKR4;AGTR1;ALOX5;ANGPT1;ANOS1;ANXA1;ATP1A2;C5AR1;CCL2;CCL21;CCL23;CCL4;CH25H;CX3CL1;CX3CR1;CXCL12;CXCL2;CXCL3;CXCL5;CXCR2;DOCK4;EDNRB;EGR3;FGF2;FGF7;FLRT3;FPR1;FPR2;HBEGF;IL6;ITGA1;NR4A1;PDE4B;PLA2G1B;PPBP;PROK2;S100A12;S100A4;S100A8;S100A9;S1PR1;SEMA3E;SEMA3G;SEMA5A;SEMA6A;SEMA6D;SFTPD;SLIT2;SLIT3","ACKR3;ACKR4;AGTR1;ALOX5;ANGPT1;ANOS1;ANXA1;ATP1A2;C5AR1;CCL2;CCL21;CCL23;CCL4;CH25H;CX3CL1;CX3CR1;CXCL12;CXCL2;CXCL3;CXCL5;CXCR2;DOCK4;EDNRB;EGR3;FGF2;FGF7;FLRT3;FPR1;FPR2;HBEGF;IL6;ITGA1;NR4A1;PDE4B;PLA2G1B;PPBP;PROK2;S100A12;S100A4;S100A8;S100A9;S1PR1;SEMA3E;SEMA3G;SEMA5A;SEMA6A;SEMA6D;SFTPD;SLIT2;SLIT3",4.7939292263388e-12,"locomotion","biological_process",534,123,21,3.10226546085686,3.07335557957219e-06,6.38737040105528e-05,TRUE,4,0.5
"GO:0030335","GO Biological Process","Lower in tumor",14764,772,496,70,25.9355188295855,2.69900133712185,2.03865377458533e-14,"ACKR3;ADAMTS1;AGER;AKAP12;AKT3;ANGPT1;ANXA1;ANXA3;ATOH8;BMP2;BMPR2;C5AR1;CAV1;CCL2;CCL21;CCL23;CCL4;CDH5;CX3CL1;CX3CR1;CXCL12;DAPK2;DOCK4;EDN1;ETS1;FAM107A;FBLN1;FERMT2;FGF2;FGF7;FGR;FPR2;FZD4;GATA2;GLIPR2;HBEGF;ICAM1;IL1B;IL6;JAM2;JAM3;KDR;LYVE1;MYADM;MYOC;NEDD9;NR4A3;PDPN;PECAM1;PLPP3;PODXL;PPM1F;PREX1;PRKCE;PTGS2;RAB11A;RARRES2;RHOB;RHOJ;RRAS;S1PR1;SASH1;SEMA3E;SEMA3G;SEMA5A;SEMA6A;SEMA6D;SYNPO2;TEK;TGFBR3","ACKR3;ADAMTS1;AGER;AKAP12;AKT3;ANGPT1;ANXA1;ANXA3;ATOH8;BMP2;BMPR2;C5AR1;CAV1;CCL2;CCL21;CCL23;CCL4;CDH5;CX3CL1;CX3CR1;CXCL12;DAPK2;DOCK4;EDN1;ETS1;FAM107A;FBLN1;FERMT2;FGF2;FGF7;FGR;FPR2;FZD4;GATA2;GLIPR2;HBEGF;ICAM1;IL1B;IL6;JAM2;JAM3;KDR;LYVE1;MYADM;MYOC;NEDD9;NR4A3;PDPN;PECAM1;PLPP3;PODXL;PPM1F;PREX1;PRKCE;PTGS2;RAB11A;RARRES2;RHOB;RHOJ;RRAS;S1PR1;SASH1;SEMA3E;SEMA3G;SEMA5A;SEMA6A;SEMA6D;SYNPO2;TEK;TGFBR3",4.7939292263388e-12,"positive regulation of cell migration","biological_process",534,344,53,2.79951114885463,5.15111895171002e-12,6.53255539785044e-10,TRUE,5,0.5
