mate,cycle,mean_phred,q30_percent
R2,85,32.7020,88.2200
R2,86,32.6370,87.7000
R2,87,32.5834,87.2200
R2,88,32.5664,87.5000
R2,89,32.5544,87.5800
R2,90,32.4692,86.7200
R2,91,32.4012,86.4400
R2,92,32.3626,86.3200
R2,93,32.1674,85.1600
R2,94,32.1886,85.3600
R2,95,32.2824,85.1000
R2,96,32.1356,84.8400
R2,97,32.1186,85.3000
R2,98,32.1240,84.6600
R2,99,32.0722,84.3800
R2,100,31.9916,83.7200
R2,101,30.4138,74.3600
