file,bytes,sha256
ERR194147_R1_first5000.fastq.gz,275276,ef432c73f9db58a08cc7373704e30290ee10feb6eefb586dbb8688546f473451
ERR194147_R2_first5000.fastq.gz,281640,439a1529e3db6092cf2598eb9f5975dd36f4e5a10e5fb740ec2804491dffceba
